Afghanistan,Surgeon - Heart Transplant,Health and Medical,64149.58
Åland Islands,Surgeon - Heart Transplant,Health and Medical,224857.7
Albania,Surgeon - Heart Transplant,Health and Medical,58020.53
Algeria,Surgeon - Heart Transplant,Health and Medical,76114.36
American Samoa,Surgeon - Heart Transplant,Health and Medical,87760.0
Andorra,Surgeon - Heart Transplant,Health and Medical,225072.36
Angola,Surgeon - Heart Transplant,Health and Medical,17277.41
Antigua and Barbuda,Chief of Surgery,Health and Medical,94289.42
Argentina,Chief of Surgery,Health and Medical,2926.91
Armenia,Chief of Surgery,Health and Medical,108897.44
Aruba,Chief of Surgery,Health and Medical,69888.27
Australia,Surgeon - Heart Transplant,Health and Medical,285515.84
Austria,Surgeon - Heart Transplant,Health and Medical,233873.47
Azerbaijan,Surgeon - Heart Transplant,Health and Medical,99376.17
Bahamas,Surgeon - Heart Transplant,Health and Medical,219500.0
Bahrain,Chief of Surgery,Health and Medical,225478.72
Bangladesh,Surgeon - Orthopedic,Health and Medical,13339.53
Barbados,Surgeon - Orthopedic,Health and Medical,90800.0
Belarus,Surgeon - Orthopedic,Health and Medical,49389.58
Belgium,Surgeon - Orthopedic,Health and Medical,340989.46
Belize,Surgeon - Orthopedic,Health and Medical,105025.84
Benin,Surgeon - Orthopedic,Health and Medical,30040.81
Bermuda,Surgeon - Orthopedic,Health and Medical,83900.0
Bhutan,Surgeon - Orthopedic,Health and Medical,23845.42
Bolivia,Surgeon - Heart Transplant,Health and Medical,70475.46
Bosnia and Herzegovina,Surgeon - Heart Transplant,Health and Medical,70736.82
Botswana,Surgeon - Heart Transplant,Health and Medical,47920.6
Brazil,Surgeon - Heart Transplant,Health and Medical,93368.33
British Indian Ocean Territory,Surgeon - Heart Transplant,Health and Medical,148300.0
British Virgin Islands,Surgeon - Orthopedic,Health and Medical,97460.0
Brunei,Surgeon - Heart Transplant,Health and Medical,127259.35
Bulgaria,Surgeon - Heart Transplant,Health and Medical,96529.15
Burkina Faso,Surgeon - Orthopedic,Health and Medical,30040.81
Burundi,Surgeon - Orthopedic,Health and Medical,22735.18
Cambodia,Surgeon - Orthopedic,Health and Medical,44842.02
Cameroon,Surgeon - Orthopedic,Health and Medical,40838.72
Canada,Surgeon - Heart Transplant,Health and Medical,417293.91
Cape Verde,Surgeon - Heart Transplant,Health and Medical,111794.4
Cayman Islands,Surgeon - Heart Transplant,Health and Medical,221871.97
Central African Republic,Surgeon - Heart Transplant,Health and Medical,39070.92
Chad,Chief of Surgery,Health and Medical,43785.1
Chile,Surgeon - Heart Transplant,Health and Medical,102891.85
China,Chief of Surgery,Health and Medical,217259.47
Colombia,Surgeon - Heart Transplant,Health and Medical,63681.48
Comoros,Surgeon - Heart Transplant,Health and Medical,34033.46
Congo,Surgeon - Heart Transplant,Health and Medical,62637.92
Cook Islands,Surgeon - Heart Transplant,Health and Medical,156436.5
Costa Rica,Surgeon - Heart Transplant,Health and Medical,261106.37
Croatia,Surgeon - Heart Transplant,Health and Medical,115087.17
Cuba,Surgeon - Heart Transplant,Health and Medical,1180700.0
Cyprus,Surgeon - Heart Transplant,Health and Medical,125083.13
Czech Republic,Surgeon - Heart Transplant,Health and Medical,136526.89
Democratic Republic of the Congo,Surgeon - Heart Transplant,Health and Medical,8616.34
Denmark,Surgeon - Heart Transplant,Health and Medical,305692.15
Djibouti,Chief of Surgery,Health and Medical,82949.41
Dominica,Chief of Surgery,Health and Medical,29944.66
Dominican Republic,Chief of Surgery,Health and Medical,17577.19
East Timor,Chief of Surgery,Health and Medical,115260.0
Ecuador,Surgeon - Heart Transplant,Health and Medical,77060.0
Egypt,Surgeon - Heart Transplant,Health and Medical,10596.22
El Salvador,Surgeon - Heart Transplant,Health and Medical,91960.0
Equatorial Guinea,Surgeon - Heart Transplant,Health and Medical,42217.09
Eritrea,Surgeon - Orthopedic,Health and Medical,24526.67
Estonia,Surgeon - Orthopedic,Health and Medical,159171.35
Ethiopia,Surgeon - Orthopedic,Health and Medical,8298.55
Faroe Islands,Surgeon - Orthopedic,Health and Medical,200245.34
Fiji,Surgeon - Orthopedic,Health and Medical,110810.8
Finland,Surgeon - Orthopedic,Health and Medical,256842.23
France,Surgeon - Orthopedic,Health and Medical,225823.68
French Guiana,Surgeon - Orthopedic,Health and Medical,171085.05
French Polynesia,Surgeon - Heart Transplant,Health and Medical,71229.52
Gabon,Surgeon - Heart Transplant,Health and Medical,48301.79
Gambia,Surgeon - Heart Transplant,Health and Medical,12426.95
Georgia,Surgeon - Heart Transplant,Health and Medical,131943.15
Germany,Surgeon - Heart Transplant,Health and Medical,212085.35
Ghana,Surgeon - Heart Transplant,Health and Medical,19871.75
Gibraltar,Surgeon - Heart Transplant,Health and Medical,215850.6
Greece,Surgeon - Orthopedic,Health and Medical,138456.53
Greenland,Surgeon - Orthopedic,Health and Medical,212490.87
Grenada,Surgeon - Orthopedic,Health and Medical,120489.15
Guadeloupe,Surgeon - Orthopedic,Health and Medical,230868.22
Guam,Surgeon - Heart Transplant,Health and Medical,77060.0
Guatemala,Surgeon - Heart Transplant,Health and Medical,71732.33
Guernsey,Surgeon - Heart Transplant,Health and Medical,510842.25
Guinea,Surgeon - Heart Transplant,Health and Medical,42830.28
Guinea-Bissau,Chief of Surgery,Health and Medical,29254.43
Guyana,Surgeon - Heart Transplant,Health and Medical,43357.53
Haiti,Surgeon - Heart Transplant,Health and Medical,26402.31
Honduras,Surgeon - Heart Transplant,Health and Medical,57453.65
Hong Kong,Surgeon - Heart Transplant,Health and Medical,233210.87
Hungary,Surgeon - Heart Transplant,Health and Medical,66167.72
Iceland,Surgeon - Heart Transplant,Health and Medical,239924.58
India,Surgeon - Heart Transplant,Health and Medical,20566.27
Indonesia,Surgeon - Heart Transplant,Health and Medical,44707.02
Iran,Surgeon - Heart Transplant,Health and Medical,62215.34
Iraq,Surgeon - Heart Transplant,Health and Medical,90284.32
Ireland,Surgeon - Heart Transplant,Health and Medical,198239.7
Italy,Surgeon - Heart Transplant,Health and Medical,223033.08
Ivory Coast,Surgeon - Heart Transplant,Health and Medical,30237.16
Jamaica,Surgeon - Heart Transplant,Health and Medical,35191.0
Japan,Surgeon - Heart Transplant,Health and Medical,189055.16
Jersey,Surgeon - Heart Transplant,Health and Medical,354316.07
Jordan,Chief of Surgery,Health and Medical,130324.4
Kazakhstan,Chief of Surgery,Health and Medical,48258.63
Kenya,Chief of Surgery,Health and Medical,61619.55
Kiribati,Chief of Surgery,Health and Medical,135913.59
Kuwait,Surgeon - Heart Transplant,Health and Medical,230170.69
Kyrgyzstan,Surgeon - Heart Transplant,Health and Medical,12326.81
Laos,"Quality, Health and Safety Coordinator",21223.80619843
Latvia,Chief of Surgery,Health and Medical,78630.43
Lebanon,"Quality, Health and Safety Coordinator",90879.9384613
Lesotho,Surgeon - Orthopedic,Health and Medical,34339.9
Liberia,Surgeon - Orthopedic,Health and Medical,20433.32
Libya,Surgeon - Orthopedic,Health and Medical,25745.99
Liechtenstein,Surgeon - Orthopedic,Health and Medical,316274.65
Lithuania,Surgeon - Orthopedic,Health and Medical,189760.58
Luxembourg,Surgeon - Orthopedic,Health and Medical,282386.93
Macao,Surgeon - Heart Transplant,Health and Medical,52739.96
Macedonia,Surgeon - Heart Transplant,Health and Medical,45561.31
Madagascar,Surgeon - Heart Transplant,Health and Medical,16865.09
Malawi,Surgeon - Heart Transplant,Health and Medical,5265.74
Malaysia,Surgeon - Heart Transplant,Health and Medical,76983.05
Maldives,Surgeon - Heart Transplant,Health and Medical,67738.24
Mali,Surgeon - Heart Transplant,Health and Medical,29254.43
Malta,Surgeon - Heart Transplant,Health and Medical,265965.34
Marshall Islands,Chief of Surgery,Health and Medical,124400.0
Martinique,Surgeon - Orthopedic,Health and Medical,176236.92
Mauritania,Surgeon - Orthopedic,Health and Medical,27293.29
Mauritius,Surgeon - Orthopedic,Health and Medical,54313.7
Mayotte,Surgeon - Heart Transplant,Health and Medical,159171.35
Mexico,Surgeon - Heart Transplant,Health and Medical,112579.95
Micronesia,Surgeon - Heart Transplant,Health and Medical,77340.0
Moldova,Surgeon - Heart Transplant,Health and Medical,83765.58
Monaco,Chief of Surgery,Health and Medical,237737.38
Mongolia,Chief of Surgery,Health and Medical,31156.12
Montenegro,Chief of Surgery,Health and Medical,153697.48
Montserrat,Surgeon - Heart Transplant,Health and Medical,54101.7
Morocco,Surgeon - Heart Transplant,Health and Medical,101154.11
Mozambique,Surgeon - Heart Transplant,Health and Medical,32899.12
Myanmar,Surgeon - Heart Transplant,Health and Medical,13440.35
Namibia,Surgeon - Heart Transplant,Health and Medical,47314.97
Nepal,Surgeon - Heart Transplant,Health and Medical,33672.78
Netherlands,Surgeon - Heart Transplant,Health and Medical,283245.57
New Caledonia,Surgeon - Heart Transplant,Health and Medical,42833.59
New Zealand,Surgeon - Heart Transplant,Health and Medical,259062.64
Nicaragua,Surgeon - Heart Transplant,Health and Medical,27768.44
Niger,Surgeon - Heart Transplant,Health and Medical,29254.43
Nigeria,Surgeon - Heart Transplant,Health and Medical,13599.73
Northern Mariana Islands,Chief of Surgery,Health and Medical,103260.0
North Korea,Surgeon - Heart Transplant,Health and Medical,12545.53
Norway,Chief of Surgery,Health and Medical,240836.39
Oman,Surgeon - Heart Transplant,Health and Medical,254537.36
Pakistan,Surgeon - Heart Transplant,Health and Medical,16143.3
Palau,Surgeon - Heart Transplant,Health and Medical,150000.0
Palestine,Surgeon - Heart Transplant,Health and Medical,1956.64
Panama,Surgeon - Orthopedic,Health and Medical,115560.0
Papua New Guinea,Surgeon - Orthopedic,Health and Medical,57638.99
Paraguay,Surgeon - Orthopedic,Health and Medical,58982.81
Peru,Surgeon - Orthopedic,Health and Medical,105836.73
Philippines,Surgeon - Orthopedic,Health and Medical,41265.1
Poland,Surgeon - Orthopedic,Health and Medical,96955.31
Portugal,Surgeon - Heart Transplant,Health and Medical,149296.93
Puerto Rico,Surgeon - Orthopedic,Health and Medical,87200.0
Qatar,Surgeon - Heart Transplant,Health and Medical,234230.77
Reunion,Surgeon - Heart Transplant,Health and Medical,120661.11
Romania,Surgeon - Heart Transplant,Health and Medical,103768.45
Russia,Surgeon - Heart Transplant,Health and Medical,60058.71
Rwanda,Surgeon - Heart Transplant,Health and Medical,28212.08
Saint Kitts and Nevis,Surgeon - Heart Transplant,Health and Medical,63797.08
Saint Lucia,Surgeon - Orthopedic,Health and Medical,55507.9
Saint Martin,Chief of Surgery,Health and Medical,184823.37
Saint Vincent and the Grenadines,Surgeon - Orthopedic,Health and Medical,64389.17
Samoa,Surgeon - Heart Transplant,Health and Medical,47074.06
San Marino,Surgeon - Heart Transplant,Health and Medical,258130.2
Sao Tome and Principe,Surgeon - Heart Transplant,Health and Medical,16174763.85
Saudi Arabia,Surgeon - Heart Transplant,Health and Medical,234373.33
Senegal,Chief of Surgery,Health and Medical,30040.81
Serbia,Surgeon - Heart Transplant,Health and Medical,66419.85
Seychelles,Surgeon - Heart Transplant,Health and Medical,73908.3
Sierra Leone,"Quality, Health and Safety Coordinator",22829.56993087
Singapore,Surgeon - Heart Transplant,Health and Medical,314009.86
Slovakia,Surgeon - Heart Transplant,Health and Medical,114650.59
Slovenia,Surgeon - Heart Transplant,Health and Medical,103595.54
Solomon Islands,Surgeon - Heart Transplant,Health and Medical,37550.1
Somalia,Surgeon - Heart Transplant,Health and Medical,24382.97
South Africa,Surgeon - Heart Transplant,Health and Medical,96297.34
South Korea,Surgeon - Heart Transplant,Health and Medical,165685.29
Spain,Surgeon - Heart Transplant,Health and Medical,159171.35
Sri Lanka,Surgeon - Heart Transplant,Health and Medical,17119.29
Sudan,Surgeon - Heart Transplant,Health and Medical,3438.06
Suriname,Surgeon - Heart Transplant,Health and Medical,8162.05
Swaziland,Surgeon - Heart Transplant,Health and Medical,13075.33
Sweden,Chief of Surgery,Health and Medical,236698.98
Switzerland,Chief of Surgery,Health and Medical,637850.0
Syria,"Quality, Health and Safety Coordinator",13001.68858311
Taiwan,Chief of Surgery,Health and Medical,219753.9
Tajikistan,Surgeon - Heart Transplant,Health and Medical,62115.14
Tanzania,Surgeon - Heart Transplant,Health and Medical,28396.25
Thailand,Surgeon - Heart Transplant,Health and Medical,151374.33
Togo,Surgeon - Heart Transplant,Health and Medical,48892.8
Tonga,Surgeon - Heart Transplant,Health and Medical,43345.43
Trinidad and Tobago,Surgeon - Orthopedic,Health and Medical,80269.14
