Afghanistan,Magistrate Judge,Legal,39057.09
Åland Islands,Magistrate Judge,Legal,138349.2
Albania,Magistrate Judge,Legal,36304.29
Algeria,Magistrate Judge,Legal,48177.59
American Samoa,Magistrate Judge,Legal,56460.0
Andorra,Magistrate Judge,Legal,147472.31
Angola,Magistrate Judge,Legal,11338.11
Antigua and Barbuda,Magistrate Judge,Legal,60762.65
Argentina,Magistrate Judge,Legal,1938.76
Armenia,Magistrate Judge,Legal,73108.2
Aruba,Magistrate Judge,Legal,47530.73
Australia,Magistrate Judge,Legal,182364.24
Austria,Magistrate Judge,Legal,152731.51
Azerbaijan,Magistrate Judge,Legal,64906.16
Bahamas,Magistrate Judge,Legal,147900.0
Bahrain,Magistrate Judge,Legal,152553.19
Bangladesh,Magistrate Judge,Legal,8956.49
Barbados,Magistrate Judge,Legal,62550.0
Belarus,Magistrate Judge,Legal,33479.58
Belgium,Magistrate Judge,Legal,238596.02
Belize,Magistrate Judge,Legal,75025.52
Benin,Magistrate Judge,Legal,21202.79
Bermuda,Magistrate Judge,Legal,62100.0
Bhutan,Magistrate Judge,Legal,15537.92
Bolivia,Magistrate Judge,Legal,43288.35
Bosnia and Herzegovina,Magistrate Judge,Legal,43912.81
Botswana,Magistrate Judge,Legal,30095.76
Brazil,Magistrate Judge,Legal,59660.78
British Indian Ocean Territory,Magistrate Judge,Legal,96220.0
British Virgin Islands,Magistrate Judge,Legal,64620.0
Brunei,Magistrate Judge,Legal,85179.52
Bulgaria,Magistrate Judge,Legal,63624.73
Burkina Faso,Magistrate Judge,Legal,19400.79
Burundi,Magistrate Judge,Legal,14848.42
Cambodia,Magistrate Judge,Legal,29518.72
Cameroon,Magistrate Judge,Legal,27099.16
Canada,Magistrate Judge,Legal,265282.86
Cape Verde,Magistrate Judge,Legal,72187.09
Cayman Islands,Magistrate Judge,Legal,142440.83
Central African Republic,Magistrate Judge,Legal,25915.18
Chad,Magistrate Judge,Legal,29254.43
Chile,Magistrate Judge,Legal,69648.64
China,Magistrate Judge,Legal,149422.07
Colombia,Magistrate Judge,Legal,45043.19
Comoros,Magistrate Judge,Legal,24555.24
Congo,Magistrate Judge,Legal,45555.03
Cook Islands,Magistrate Judge,Legal,94837.02
Costa Rica,Magistrate Judge,Legal,160977.16
Croatia,Magistrate Judge,Legal,72693.38
Cuba,Magistrate Judge,Legal,757300.0
Cyprus,Magistrate Judge,Legal,80777.04
Czech Republic,Magistrate Judge,Legal,89547.11
Democratic Republic of the Congo,Magistrate Judge,Legal,5744.23
Denmark,Magistrate Judge,Legal,203986.63
Djibouti,Magistrate Judge,Legal,54010.8
Dominica,Magistrate Judge,Legal,18732.07
Dominican Republic,Magistrate Judge,Legal,11753.56
East Timor,Magistrate Judge,Legal,79360.0
Ecuador,Magistrate Judge,Legal,47720.0
Egypt,Magistrate Judge,Legal,6846.37
El Salvador,Magistrate Judge,Legal,58800.0
Equatorial Guinea,Magistrate Judge,Legal,27880.14
Eritrea,Magistrate Judge,Legal,16353.33
Estonia,Magistrate Judge,Legal,106858.39
Ethiopia,Magistrate Judge,Legal,5617.91
Faroe Islands,Magistrate Judge,Legal,139607.66
Fiji,Magistrate Judge,Legal,75871.25
Finland,Magistrate Judge,Legal,184823.37
France,Magistrate Judge,Legal,162927.92
French Guiana,Magistrate Judge,Legal,112783.04
French Polynesia,Magistrate Judge,Legal,43486.58
Gabon,Magistrate Judge,Legal,30237.16
Gambia,Magistrate Judge,Legal,7832.4
Georgia,Magistrate Judge,Legal,85263.04
Germany,Magistrate Judge,Legal,138456.53
Ghana,Magistrate Judge,Legal,13001.2
Gibraltar,Magistrate Judge,Legal,145990.76
Greece,Magistrate Judge,Legal,89513.76
Greenland,Magistrate Judge,Legal,138715.51
Grenada,Magistrate Judge,Legal,79191.27
Guadeloupe,Magistrate Judge,Legal,152731.51
Guam,Magistrate Judge,Legal,47720.0
Guatemala,Magistrate Judge,Legal,46388.62
Guernsey,Magistrate Judge,Legal,336380.78
Guinea,Magistrate Judge,Legal,28320.7
Guinea-Bissau,Magistrate Judge,Legal,19480.64
Guyana,Magistrate Judge,Legal,29347.66
Haiti,Magistrate Judge,Legal,18094.6
Honduras,Magistrate Judge,Legal,40168.11
Hong Kong,Magistrate Judge,Legal,165726.67
Hungary,Magistrate Judge,Legal,47589.75
Iceland,Magistrate Judge,Legal,174795.65
India,Magistrate Judge,Legal,13637.77
Indonesia,Magistrate Judge,Legal,27320.96
Iran,"Quality, Health and Safety Coordinator",41854.62932373
Iraq,Magistrate Judge,Legal,56462.75
Ireland,Magistrate Judge,Legal,122678.93
Italy,Magistrate Judge,Legal,139959.16
Ivory Coast,Magistrate Judge,Legal,18887.34
Jamaica,Magistrate Judge,Legal,22780.17
Japan,Magistrate Judge,Legal,123401.77
Jersey,Magistrate Judge,Legal,237423.12
Jordan,Magistrate Judge,Legal,81607.9
Kazakhstan,Magistrate Judge,Legal,31906.91
Kenya,Magistrate Judge,Legal,41256.45
Kiribati,Magistrate Judge,Legal,92317.44
Kuwait,Magistrate Judge,Legal,148096.84
Kyrgyzstan,Magistrate Judge,Legal,8148.16
Laos,"Quality, Health and Safety Coordinator",21223.80619843
Latvia,Magistrate Judge,Legal,54287.84
Lebanon,"Quality, Health and Safety Coordinator",90879.9384613
Lesotho,Magistrate Judge,Legal,23443.79
Liberia,Magistrate Judge,Legal,14108.43
Libya,Magistrate Judge,Legal,18262.27
Liechtenstein,Magistrate Judge,Legal,226052.45
Lithuania,Magistrate Judge,Legal,137061.23
Luxembourg,Magistrate Judge,Legal,184823.37
Macao,Magistrate Judge,Legal,32418.14
Macedonia,Magistrate Judge,Legal,28085.21
Madagascar,Magistrate Judge,Legal,10540.61
Malawi,Magistrate Judge,Legal,3329.05
Malaysia,Magistrate Judge,Legal,48962.4
Maldives,Magistrate Judge,Legal,44022.4
Mali,Magistrate Judge,Legal,19200.19
Malta,Magistrate Judge,Legal,175807.6
Marshall Islands,Magistrate Judge,Legal,80060.0
Martinique,Magistrate Judge,Legal,116990.4
Mauritania,Magistrate Judge,Legal,17916.95
Mauritius,Magistrate Judge,Legal,36179.67
Mayotte,Magistrate Judge,Legal,102629.56
Mexico,Magistrate Judge,Legal,72998.8
Micronesia,Magistrate Judge,Legal,52540.0
Moldova,Magistrate Judge,Legal,55284.03
Monaco,Magistrate Judge,Legal,159171.35
Mongolia,Magistrate Judge,Legal,21124.61
Montenegro,Magistrate Judge,Legal,107244.78
Montserrat,Magistrate Judge,Legal,37715.77
Morocco,Magistrate Judge,Legal,71323.83
Mozambique,Magistrate Judge,Legal,23501.83
Myanmar,Magistrate Judge,Legal,9666.07
Namibia,Magistrate Judge,Legal,34413.77
Nepal,Magistrate Judge,Legal,20574.15
Netherlands,Magistrate Judge,Legal,173446.32
New Caledonia,Magistrate Judge,Legal,27104.35
New Zealand,Magistrate Judge,Legal,166722.89
Nicaragua,Magistrate Judge,Legal,17972.99
Niger,Magistrate Judge,Legal,19200.19
Nigeria,Magistrate Judge,Legal,9023.37
Northern Mariana Islands,Magistrate Judge,Legal,68320.0
North Korea,Magistrate Judge,Legal,8012.94
Norway,Magistrate Judge,Legal,164144.05
Oman,Magistrate Judge,Legal,160046.86
Pakistan,Magistrate Judge,Legal,10408.02
Palau,Magistrate Judge,Legal,97760.0
Palestine,Magistrate Judge,Legal,1267.6
Panama,Magistrate Judge,Legal,73820.0
Papua New Guinea,Magistrate Judge,Legal,39228.37
Paraguay,Magistrate Judge,Legal,39971.83
Peru,Magistrate Judge,Legal,73321.11
Philippines,Magistrate Judge,Legal,28480.03
Poland,Magistrate Judge,Legal,68200.98
Portugal,Magistrate Judge,Legal,109305.53
Puerto Rico,Crown Prosecution Service Lawyer,Legal,55200.0
Qatar,Magistrate Judge,Legal,143598.9
Reunion,Magistrate Judge,Legal,73414.16
Romania,Magistrate Judge,Legal,65162.96
Russia,Magistrate Judge,Legal,38046.0
Rwanda,Magistrate Judge,Legal,18064.42
Saint Kitts and Nevis,Magistrate Judge,Legal,42089.79
Saint Lucia,Magistrate Judge,Legal,35310.43
Saint Martin,Magistrate Judge,Legal,120811.37
Saint Vincent and the Grenadines,Magistrate Judge,Legal,43540.4
Samoa,Magistrate Judge,Legal,29789.51
San Marino,Magistrate Judge,Legal,170333.73
Sao Tome and Principe,Magistrate Judge,Legal,10573782.76
Saudi Arabia,Magistrate Judge,Legal,154826.67
Senegal,Magistrate Judge,Legal,20027.15
Serbia,Magistrate Judge,Legal,44987.5
Seychelles,Magistrate Judge,Legal,50856.56
Sierra Leone,"Quality, Health and Safety Coordinator",22829.56993087
Singapore,Magistrate Judge,Legal,219489.12
Slovakia,Magistrate Judge,Legal,81871.82
Slovenia,Magistrate Judge,Legal,74251.34
Solomon Islands,Magistrate Judge,Legal,27080.79
Somalia,Magistrate Judge,Legal,16203.41
South Africa,Magistrate Judge,Legal,58817.89
South Korea,Magistrate Judge,Legal,107209.07
Spain,Magistrate Judge,Legal,99516.97
Sri Lanka,Magistrate Judge,Legal,10796.5
Sudan,Magistrate Judge,Legal,2198.1
Suriname,Magistrate Judge,Legal,5337.82
Swaziland,Magistrate Judge,Legal,8643.02
Sweden,Magistrate Judge,Legal,153242.02
Switzerland,Magistrate Judge,Legal,420852.9
Syria,"Quality, Health and Safety Coordinator",13001.68858311
Taiwan,Magistrate Judge,Legal,149279.57
Tajikistan,Magistrate Judge,Legal,39443.84
Tanzania,Magistrate Judge,Legal,18337.38
Thailand,Magistrate Judge,Legal,98879.88
Togo,Magistrate Judge,Legal,32396.67
Tonga,Magistrate Judge,Legal,28073.73
Trinidad and Tobago,Magistrate Judge,Legal,54499.92
Tunisia,Magistrate Judge,Legal,47841.36
Turkey,Magistrate Judge,Legal,9275.56
Turkmenistan,Magistrate Judge,Legal,56405.04
Turks and Caicos Islands,Magistrate Judge,Legal,57080.0
Uganda,Magistrate Judge,Legal,23483.8
Ukraine,Magistrate Judge,Legal,20464.41
United Arab Emirates,Magistrate Judge,Legal,192103.47
United Kingdom,Magistrate Judge,Legal,258744.8
United States,Magistrate Judge,Legal,278500.0
United States Virgin Islands,Magistrate Judge,Legal,95980.0
Uruguay,Magistrate Judge,Legal,31121.99
Uzbekistan,"Quality, Health and Safety Coordinator",12597.07421815
Vanuatu,Magistrate Judge,Legal,29214.91
Venezuela,Magistrate Judge,Legal,131239.39
Vietnam,Magistrate Judge,Legal,25177.9
Western Sahara,Magistrate Judge,Legal,37391.63
Yemen,Magistrate Judge,Legal,4847.44
Zambia,Magistrate Judge,Legal,8811.23
Zimbabwe,"Quality, Health and Safety Coordinator",22105.28314186
