Afghanistan,Nuclear Engineer,Science and Technical Services,32027.77
Åland Islands,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,116990.4
Albania,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,30114.6
Algeria,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,40599.62
American Samoa,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,49360.0
Andorra,CEO,Executive and Management,115466.31
Angola,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,8998.07
Antigua and Barbuda,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,50364.17
Argentina,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,1591.18
Armenia,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,60868.65
Aruba,Astronomer,Science and Technical Services,36156.42
Australia,CEO,Executive and Management,140519.73
Austria,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,118471.57
Azerbaijan,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,52110.75
Bahamas,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,117100.0
Bahrain,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,116382.98
Bangladesh,Nuclear Engineer,Science and Technical Services,6784.56
Barbados,Nuclear Engineer,Science and Technical Services,46570.0
Belarus,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,26565.65
Belgium,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,184823.37
Belize,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,59091.25
Benin,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,17002.55
Bermuda,Pharmaceutical Manager,Pharmaceutical and Biotechnology,47540.0
Bhutan,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,12764.36
Bolivia,Pharmaceutical Manufacturing Lead,Pharmaceutical and Biotechnology,35627.98
