Youtuber,subscribers,category
T-Series,245000000,Music
YouTube Movies,170000000,Film & Animation
MrBeast,166000000,Entertainment
Cocomelon - Nursery Rhymes,162000000,Education
SET India,159000000,Shows
Music,119000000,nan
ýýý Kids Diana Show,112000000,People & Blogs
PewDiePie,111000000,Gaming
Like Nastya,106000000,People & Blogs
Vlad and Niki,98900000,Entertainment
Zee Music Company,96700000,Music
WWE,96000000,Sports
Gaming,93600000,nan
BLACKPINK,89800000,People & Blogs
Goldmines,86900000,Film & Animation
Sony SAB,83000000,Shows
5-Minute Crafts,80100000,Howto & Style
BANGTANTV,75600000,Music
Sports,75000000,nan
Justin Bieber,71600000,Music
HYBE LABELS,71300000,Music
Zee TV,70500000,Entertainment
Pinkfong Baby Shark - Kids' Songs & Stories,68200000,Education
Canal KondZilla,66500000,Music
ChuChu TV Nursery Rhymes & Kids Songs,65900000,Education
Shemaroo Filmi Gaane,65600000,Music
Colors TV,64600000,Shows
T-Series Bhakti Sagar,61000000,Music
Dude Perfect,59500000,Sports
Movieclips,59500000,Film & Animation
Tips Official,59300000,Music
El Reino Infantil,58400000,Music
Wave Music,58000000,Music
Aaj Tak,57600000,News & Politics
Sony Music India,57200000,Music
EminemMusic,56900000,Music
Marshmello,56400000,Entertainment
YRF,54600000,Film & Animation
LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,Music
Ed Sheeran,53500000,Music
Infobells - Hindi,53300000,Education
Taylor Swift,52900000,Music
Ariana Grande,52700000,Music
BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,Education
JuegaGerman,48100000,Gaming
Billie Eilish,47900000,Music
Get Movies,47500000,Entertainment
Shemaroo,47400000,Entertainment
Badabun,46800000,Entertainment
SonyMusicIndiaVEVO,46600000,Music
A4,46300000,Gaming
Bad Bunny,46100000,Music
Fernanfloo,46100000,Gaming
Voot Kids,45500000,Entertainment
Felipe Neto,45200000,Entertainment
Vocï¿½ï¿½ï¿½,44700000,Entertainment
HAR PAL GEO,44600000,Entertainment
BRIGHT SIDE,44500000,Howto & Style
Katy Perry,44200000,Music
whinderssonnunes,44200000,Comedy
ABS-CBN Entertainment,44200000,People & Blogs
Alan Walker,43700000,Music
HolaSoyGerman.,43600000,Entertainment
Shakira,43500000,People & Blogs
ýýýýýýýý ýý ýýýýýýýýýýýýýý,43200000,Film & Animation
ARY Digital HD,43200000,Entertainment
Speed Records,42500000,Music
Masha and The Bear,42400000,Shows
Like Nastya Show,42400000,Entertainment
Rihanna,41900000,Entertainment
Ishtar Music,41400000,Trailers
Kimberly Loaiza,41300000,People & Blogs
Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,Education
Luisito Comunica,40600000,Comedy
elrubiusOMG,40400000,Gaming
Toys and Colors,40300000,Entertainment
shfa2 - ï¿½ï¿½,39700000,People & Blogs
LUCCAS NETO - LUCCAS TOON,39400000,People & Blogs
CarryMinati,39200000,Comedy
XXXTENTACION,39200000,Music
Super Simple Songs - Kids Songs,39200000,Education
Mikecrack,39100000,Gaming
WorkpointOfficial,39000000,Entertainment
GR6 EXPLODE,38900000,Music
TEDx Talks,38600000,Nonprofits & Activism
shfa,38400000,People & Blogs
Goldmines Gaane Sune Ansune,38300000,Music
One Direction,38200000,Music
TheEllenShow,38200000,Entertainment
Sony PAL,38200000,Shows
Daddy Yankee,38000000,Music
Vlad vï¿½ï¿½ï,37900000,nan
Like Nastya ESP,37600000,Entertainment
ýýýýýýýýýýýý one31,37500000,Entertainment
Jkk Entertainment,37200000,Comedy
ABP NEWS,37000000,People & Blogs
Maria Clara & JP,37000000,People & Blogs
Bruno Mars,36700000,Music
Maroon 5,36600000,Music
Ultra Bollywood,36600000,Trailers
PowerKids TV,36500000,Film & Animation
YouTube,36300000,News & Politics
News,36300000,nan
Ozuna,36200000,Music
MrBeast Gaming,36100000,Gaming
La Granja de Zenï¿½,35700000,Music
Saregama Music,35500000,Entertainment
IndiaTV,35500000,News & Politics
T-Series Bollywood Classics,35400000,Music
Total Gaming,35400000,Gaming
Markiplier,35200000,Gaming
Ryan's World,35200000,Entertainment
Genevieve's Playhouse - Learning Videos for Kids,34900000,Education
T-Series Apna Punjab,34600000,Music
